name,link,others,text,author,category,date
"Shangqianzi Teng: A passionate advocate for diversity and, gender balance in the tech industry.",/en/blog/2023/09/career-story-shangqianzi-teng/,Meet our people / Shangqianzi Teng / 19.9.2023,"With a passion for technology and a master's degree in hand, she embarked on a remarkable journey. Over the past 13 years, she has held various roles within the telecom industry, which led her to her current pivotal role as a Product Guardian at Tietoevry Create China.- I had a growing interest in technology and the mechanisms behind it. This eventually led me to study electronic engineering in college, and ignited my passion for pursuing a career in technology, Shangqianzi says.Shangqianzi's current role isn’t merely confined to designing technical solutions. It involves blending creativity and, problem-solving while working with a team of developers, project managers, and other stakeholders. Together they create innovative solutions that meet client requirements within set timelines and, budgets.Shangqianzi expressed that her interest lies in exploring emerging technologies, such as artificial intelligence and machine learning, to develop innovative solutions for complex problems in the telecom industry. She is always striving to learn and grow in her career. Therefore, her advice to all aspiring women in tech is to cultivate a network of supportive mentors and role models and to never cease their pursuit of knowledge.- I have not faced difficulties related to being a woman in tech, mainly because the culture of Tietoevry is inclusive, and my managers are open-minded, Shangqianzi says.- The biggest prejudice about women in tech is that they're not as technically skilled as men. This prejudice is kept alive by unconscious bias and discriminatory attitudes that have no place in a brainpower-based industry, Shangqianzi firmly believes.As we see, beyond her technical expertise, Shangqianzi has emerged as a passionate advocate for diversity and, gender balance in the tech industry.- To improve gender balance in tech, it's essential to create a supportive culture that values diversity and inclusivity. Here are some suggestions:Build programs that provide mentorship and networking opportunities for women in tech.
Make sure that job postings and hiring practices are unbiased and focused on qualifications - not gender.
Create supportive work environments that foster a diverse and inclusive culture and, offer career growth opportunities for everyone.As we emphasize the importance of diversity in tech, it's also essential to foster self-awareness and combat stereotypes and biases. This process begins internally, urging everyone to confront their own self-preconceptions. Shangqianzi's transformative personal experience exemplifies this.- I was kind of an indoor girl and not interested in sports before. Last summer, I joined a parent-child trip, hiked along the Great Wall of the Han Dynasty, and enjoyed a breathtaking view of the surrounding landscapes. After that, I started to enjoy hiking and exploring the great outdoors. And I learned a lesson from it - don’t easily judge yourself, as you might surprise even yourself with what you're capable of achieving, Shangqianzi ends.Join our team and reinvent the world. For good.Visit our career site!", Shangqianzi Teng ,Meet our people , 19.9.2023
Accelerating sustainability ambitions at Tietoevry,/en/blog/2023/09/accelerating-sustainability-ambitions-at-tietoevry/,Sustainability / Ida Bohman Steenberg / 19.9.2023,"Congratulations on the new role! What sustainability topics are most pressing on your working table currently?Climate, circular economy, and human rights are essential in today's corporate landscape, and also on my workdesk daily. These areas define a responsible and ethical approach to business as well as lay the foundation for long-term success and resilience. Aligning with current and upcoming legislation, such as the EU taxonomy and Corporate Sustainability Reporting Directive, is highly important, for staying compliant as well as demonstrating a commitment to sustainability.How do these topics translate to the technology industry? Anything specific Tietoevry is looking out for currently?As we are a B2B company, our customers are also our partners. We need to ensure we offer low-carbon solutions for our customers and support them in the transition towards circularity. One special highlight I want to make is our human rights work and filling the due diligence requirements. A current large initiative is developing an ambitious and comprehensive sustainability long-term plan for Tietoevry from 2024 onwards, to guide us towards a sustainable future as well as enabling more sustainable products, services and solutions for our customers and the society at large.The climate crisis, international conflicts, discrimination and hate speech have an impact on all of us, and enterprises are not immune to the situation. How are these topics visible in your daily work?When we crafted our long-term sustainability plan for 2020–2023, we examined our role as an organization and our potential contributions toward fostering a sustainable society. These insights were translated into concrete goals that reflect our commitments. However, our world has brought on significant changes since then.As we set our sights on Tietoevry's sustainability strategy for 2024 and beyond, we want to introduce fresh perspectives and adaptability to the ever-evolving societal landscape. It's imperative that we assess our priorities and determine the areas where we can make the most impact. For instance, the ongoing war in Ukraine has deeply affected us, given the number of colleagues who work in the region.Ida Bohman Steenberg. Picture: Evelina CarbornThe upcoming EU legislation, CSRD, EU taxonomy and the European Sustainability Reporting Standards will change the ways companies approach sustainability compliance. How do you see the legislation frameworks will mold the ways companies do business?For us, the focus has never been solely on compliance. Instead, we need to understand how we can actively address critical issues on sustainability. I thank the EU every day because local legislation is not on par in the markets we operate. For example, it is the EU currently driving environmental action.On a more practical level, we welcome the support provided by the legislation and other frameworks warmly. They not only enhance our ability to comply but also support us in bringing on people who may not traditionally have been involved in sustainability. Sustainability is for everyone to work with.Can you discuss some key sustainability initiatives Tietoevry has implemented on its sustainability journey?We are proud of several achievements. Notably, our commitment to the Science-Based Targets Initiative represents an important milestone of committing to joint environmental actions. Equally vital is the establishment of our human rights organization and the associated operational processes, which are crucial for our practical efforts in this area. Furthermore, we have forward-thinking initiatives at the intersection of ethics and technology, which we are we are eager to further develop. Finally, our dedication to supporting our customers and their teams in adopting more sustainable practices remains a top priority for us.Why is it important to engage employees and stakeholders in sustainability efforts? Can you share any best practices for fostering a sustainability culture?To reach goals and ambitions as an organization and practically as humankind we need everyone onboard. Sustainability is a collective action and we strive to make the diffent possibilities to impact accessible to all. Each employee at Tietoevry has the chance to incorporate sustainable practices, such as those of circularity, into their everyday tasks. It is crucial to foster a culture of transparency, to clearly articulate our objectives and offer training and insights to raise awareness. Engaging in discussions and joint projects with our customers presents the most significant potential for impact. By delivering more sustainable products and solutions, we can extend our influence far beyond our organization, positively affecting the broader community.How can technology and sustainability make an impact?In today's rapidly changing world, technology stands as the number one accelerator to achieve sustainability. Technology is embedded everywhere in all processes, communications, infrastructure and how we interact. Technology has a large role in facilitating global collaboration and knowledge sharing, which allows us to tackle sustainability challenges collectively.One wonderful aspect of sustainability is the opportunity to contribute positively to our world while also strengthening companies to meet the demands brought on by both regulatory bodies and society at large. This not only allows us to shape a better world but also positions us to thrive amidst a changing landscape.", Ida Bohman Steenberg ,Sustainability , 19.9.2023
Mentorship is a catalyst for uplifting diversity and inclusion,/en/blog/2023/09/mentorship-is-a-catalyst-for-uplifting-diversity-and-inclusion/,Meet our people / Ahmad Qureshi / 18.9.2023,"After living my early years in Pakistan, I spent the rest of my childhood in West Africa, where my father was a businessman. It was there that I was exposed to pure empathic human emotions and the challenges of the underprivileged.I returned to Pakistan and moved to Finland after becoming an electronics engineer. Having been exposed to diverse experiences ranging from the developing countries of Asia and Africa to the progressive and growing European nation of Finland, I understand the need to extend a helping hand, especially when these experiences have built me as a person.With my background, I was immediately drawn to the opportunity to make a meaningful impact when I first heard about the mentoring programme. As someone who has always believed in the power of mentorship and giving back to the community, I want to get involved.As a mentor, I was able to use my knowledge and skills to help refugee and immigrant entrepreneurs and professionals build their businesses or advance their careers, ultimately empowering them to thrive in their new environment.The importance of companies taking partTietoevry's participation in the Startup Refugees Mentoring Program demonstrates our commitment to giving back to society and our dedication to inclusion and diversity. By actively participating in these mentoring programmes, we not only demonstrate our corporate social responsibility but also highlight our values.In the mentoring programme held in the past four years 2019-2022, almost 60% of the mentees have started their employment journeys.Here are a few reasons why I believe it is important for companies and individuals to participate in these mentoring programmes:1. Fostering inclusion and diversityBy partnering with Startup Refugees, Tietoevry promotes inclusion and diversity within our organization and the wider community. These mentoring programmes create opportunities for both refugee and immigrant entrepreneurs and professionals, who often face unique challenges, to access resources and support. By actively engaging with this diverse group, Tietoevry fosters an inclusive environment that celebrates different perspectives and experiences.2. Professional and personal developmentBeing a mentor in these programmes provides me with many opportunities for professional and personal growth. Mentoring allows me to develop leadership and coaching skills, as well as gain a deeper understanding of diverse business perspectives. Engaging with refugee entrepreneurs and professionals exposes me to unique challenges and solutions, expanding my knowledge and perspectives.3. Strengthening networks and collaborationParticipating in mentoring programmes offers the opportunity to build strong networks and foster collaboration between different people and organizations. By connecting with refugee entrepreneurs and professionals, as well as other mentors, we can build valuable relationships that extend beyond the programme. These connections open doors to new ideas, partnerships, and business opportunities. The program becomes a platform for building a thriving ecosystem that benefits all participants.4. Corporate reputation and talent attractionBy actively supporting mentoring programmes, Tietoevry enhances its corporate reputation and attracts top talent. Individuals who seek purpose-driven organizations are drawn to companies that actively contribute to social causes. Our involvement in the Startup Refugees Mentoring Programme highlights our commitment to social impact and makes us an attractive employer for those who share our values.Giving back to societyI believe that all companies have a responsibility to give back to their communities, and mentoring refugee and immigrant entrepreneurs and professionals is a great way to do this. It is an investment in the future of our society and has the potential to make a real difference in the lives of individuals and families.If you are working in a company that is looking for ways to give back to your community and make a difference in the lives of entrepreneurs and professionals, I encourage you to consider a mentoring programme. It is an investment that will pay off in many ways.In all honesty, I have been humbled by the determination and steadfastness of all the mentees in the mentoring programmes. I believe this can be attributed to their resilience, motivation, appreciation of opportunities, and the support they receive from their mentor and networks.Being a mentor has been an incredibly fulfilling experience for me. I have now moved from being a mentor to someone who helps organize these programmes. It has allowed me to contribute to the growth and success of both refugee entrepreneurs and professionals while also furthering Tietoevry's mission of inclusion and diversity.When we continue to support these mentoring programmes and expand our involvement, the impact will go beyond individual entrepreneurs and professionals. It will strengthen the ecosystem, create meaningful connections, and pave the way for a more inclusive future.I am proud to be a part of Tietoevry and grateful for the opportunity to make a difference in the lives of refugee and immigrant entrepreneurs and professionals. Together, we can build a more inclusive and vibrant world.Read more about the mentoring programme.", Ahmad Qureshi ,Meet our people , 18.9.2023
"Unleash the power of interactivity, payment flexibility, and relevant communication",/en/blog/2023/09/Unleash-the-power-of-interactivity-payment-flexibility-and-relevant-communication/,Digitalization / Pernilla Hurtig / 15.9.2023,"Just think back 10 years - payments and invoicing were a straightforward affair. But times have changed, and now we pay in various ways, sometimes on a monthly basis. Customer freedom and options have increased dramatically, and businesses must adapt to meet these needs.The EU has implemented several directives to improve payment processes and promote real-time payments, including the Open Banking initiative. Despite the Nordic attempts with the P27 project, it has been discontinued, and instead, Sweden plans to modernize Bankgiro to comply with EU directives. The EU has also introduced Request to Pay as the standard for e-invoicing, opening up opportunities for new services and players. To simplify matters for both businesses and end customers, it is important to use tools that integrate invoices, offers, and relevant information in a user-friendly manner and leverage digital insights to enhance customer communication.The future of payments: trends and technologyIn our new whitepaper, authored by Pernilla Hurtig, we share insights into the evolving world of payments and invoicing.We explore:Customer preferences and behaviors.
Digital payment options like Swish and open banking.
Responsive design for a smoother user experience.
EU directives impacting the industry.
Future prospects such as Live Invoice.At Tietoevry, we have years of experience in invoice management and payments, and we strive to make life easier for both businesses and customers.Download the whitepaper now to explore the possibilities of the future in payments and invoicing!Download whitepaper now", Pernilla Hurtig ,Digitalization , 15.9.2023
Introducing BLE Audio: unveiling the future of Wireless Audio,/en/blog/2023/08/introducing-ble-audio-unveiling-the-future-of-wireless-audio/,Data / Ladislav Podivin / 29.8.2023,"Why is BLE Audio capturing our attention? At Tietoevry, we proudly partner with major audio industry leaders, actively shaping the landscape of connected audio from chip to cloud. This technology has us truly intrigued. Now, let's delve into the fascinating realm of BLE Audio.Due to the recent explosion in numbers of sold wireless earbuds, I’m pretty sure that everyone is aware of these small useful devices. Most of these are based on Bluetooth Classic Audio. A standard that has been around for ages and is also well known from uses in our cars thanks to its handsfree functionality.The simplest explanation I can think of is, that BLE Audio is a next generation of this Bluetooth audio as we know it nowadays.Now the crucial question is, why do we even need a next generation? The current solution is ubiquitous and works quite well. So why spend time, effort, and at the end of the day our money, on something new?If you do internet research, it’s easy to conclude that the main benefits of this new technology are lower power consumption, lower latency and new features it brings. Personally, if I as a heavy user of Bluetooth classic earbuds, should pick the most appealing benefit, it would be the new features. Unlike Bluetooth classic, BLE Audio is not limited only to point to point connection. Getting rid of this dark legacy opens the door for new features such as True Wireless Stereo (TWS) or Auracast.Simply put, TWS means that we have two independent earbuds each receiving its own channel. But wait a minute, we do have TWS with the current standard, don’t we? Well, sort of. Due to the point-to-point nature of the “old Bluetooth” this must be achieved by vendor specific hacks. Usually, the earbuds also need to talk to each other and only one of them talks to the audio source. This approach is a bit clumsy as it requires one more transmitter in one of the headphones and might introduce other complications. Luckily, BLE Audio allows to both headphones to talk to the source directly.So, will this “True TWS” improve my user experience? Frankly, no, at least not directly. But I believe it clearly shows that the “old Bluetooth Audio” already hit its limits. At the same time, it’s a nice demonstration how much effort was invested into making BLE Audio as future proof as possible.The other new feature I mentioned is Auracast. Auracast is a fancy name for BLE Audio broadcast. In other words, transmitting audio from one source to multiple listening devices. The most straightforward use case that anyone can imagine is sharing a music stream from your phone with your friends, in a similar way that you can share an internet connection by turning your phone into a Wi-Fi hotspot. There are however more possibilities. My favourite scenario is a TV that allows you to connect multiple pairs of earbuds. So that a group of people can watch a movie without disturbing others not interested in watching.This short “BLE Audio in a nutshell” text has no ambition to be a complete guide to the new spec or to bring a comprehensive description of all the new features. However, hopefully I succeeded in conveying the message that BLE Audio is an interesting technology and not just some buzzword. Next time we will have a closer look at one of its aspects, so stay tuned.Read more:Software R&D as a ServiceConnected devices, software development, and engineering services for intelligent electronics", Ladislav Podivin ,Data , 29.8.2023
Leveraging AI for smart supply chain finance decisions,/en/blog/2023/08/leveraging-ai-for-smart-supply-chain-finance-decisions/,Digitalization / Kedar Shiralkar / 28.8.2023,"The financial disruption caused by the COVID-19 pandemic has highlighted the importance of optimizing working capital for supply chain stability. Many companies have turned to supply chain finance (SCF) to effectively address these challenges. However, managing a diverse and large supplier base while assessing the financial risk of individual suppliers can be a daunting task. This study presents an innovative approach that uses artificial intelligence (AI) to segment suppliers based on their payment risk portfolios, enabling supply chain professionals to assess financial risk and strategize manageable SCF solutions for each supplier.Supplier Segmentation for Risk AssessmentTo streamline the SCF solution selection process, this study proposes an intelligent methodology based on supplier segmentation. By assessing suppliers' payment risk portfolios, supply chain practitioners can gain valuable insights into the financial health of each supplier. This approach uses a stochastic optimization model that calculates the optimal payment risk portfolios for suppliers.Generation of the supplier segmentation matrixUsing the results of the stochastic optimization model, the proposed method generates a supplier segmentation matrix. This matrix categorizes suppliers into different risk groups based on their financial profiles. Such segmentation enables supply chain practitioners to differentiate between suppliers with different levels of financial risk.Strategizing SCF solutionsArmed with the Supplier Segmentation Matrix, supply chain professionals can make more informed decisions about SCF solutions for individual suppliers. By understanding each supplier's financial risk, they can tailor appropriate SCF strategies to support suppliers in need and improve overall supply chain stability.Implementation of an AI-driven explainable recommendation systemTo operationalize the proposed methodology, an AI-driven explainable recommendation system can be developed. This system uses AI algorithms to analyze supplier data, identify financial risk patterns and provide transparent explanations for the recommended SCF strategies. Supply chain practitioners can use this system as a powerful tool to make intelligent strategic choices in SCF decision-making.Benefits of AI-driven intelligent supply chain financeNow that we've explored how AI-driven supplier segmentation can revolutionize supply chain finance, let's look at how your organization can benefit from this innovative approach. The benefits extend across industries, from retail to industrial solutions, enabling you to align and complement your existing solutions while adding real value to your operations.Examples of industry-specific benefits:Retail - Product Sourcing: Identify suppliers with optimal payment risk portfolios to ensure stable product supply. Improve your product sourcing strategy and minimize disruption.Manufacturing - Sub-component purchasing: Segment suppliers based on their financial health to optimize subcomponent sourcing. Maintain consistent production and minimize bottlenecks in the supply chain.Logistics - Freight Partners: Use AI-driven insights to select freight partners with the right financial stability. Ensure efficient transportation and distribution networks.Healthcare - Medical Supplies: Strategize SCF solutions for medical suppliers based on their risk profiles. Ensure availability of critical medical supplies.The AI approach complements existing solutionsThe beauty of this AI-driven approach lies in its ability to align with your current supply chain finance strategies. It doesn't disrupt your existing processes, but enhances them by providing accurate risk assessment and tailored solutions. By seamlessly integrating with your operations, you can achieve better risk management and more effective financial strategies.Our approach isn't just about adopting the latest technology. It's about transforming the way you make supply chain finance decisions. By harnessing AI, you can gain a deeper understanding of your suppliers' financial health, leading to smarter decisions that positively impact your supply chain stability and overall business performance.Let's assess your needs - we're here to helpAre you ready to embark on a journey of optimized supply chain finance? Our comprehensive portfolio of solutions, including AI-driven supplier segmentation and explainable recommendation systems, is designed to empower your organization. Let's work together to tailor these innovations to your specific needs and goals. Contact us today to explore how we can transform your supply chain finance for the better. Your more resilient and stable supply chain is waiting.Read the full research paper: An Intelligent Method for Supply Chain Finance Selection using Supplier Segmentation: A Payment Risk Portfolio Approach - ScienceDirect", Kedar Shiralkar ,Digitalization , 28.8.2023
How to make use of the implementation project in growing new talent,/en/blog/2023/08/how-to-make-use-of-the-implementation-project-in-growing-new-talent/,Digitalization / Teija  Elomaa / 27.8.2023,"At the beginning of the implementation project, there are always huge expectations on how the new system will save up HR resources for more strategic HR work. It might come as a surprise that HR Technology has become one of the strategically important areas which require dedicated resources. Though the leading Cloud HCM solutions such as Workday and SAP SuccessFactors deliver intelligent automation, support self-service, and empower your employees and managers, there are new tasks, knowledge and roles required after the implementation. How can the implementation project help you to tackle this challenge? The project gives your team a good insight into what type of work is required in the future as part of system development, business process optimization, testing, security analysis, organizational changes, integration and automation, reporting or implementing new functionalities - to name a few. It is necessary to think about how you want to resource this work going forward. HR functions at all companies are challenged to reskill their HR due to the new technology. To become more self-sufficient with your new Cloud HCM platform, involve your employees more. However, you can consider using more external resources in the customer roles.Picture the new ways of workingHR work changes along with the new HCM system, so it is essential to set your operations on a new track already during the implementation project. To make sure your HR team members know what is expected from them after the go-live, enable them to grow to their new day-to-day roles during the project. In many projects, people are pushed to their limits by combining daily work and project involvement. One way of measuring a successful project should also be the well-being of the implementation project team. It takes time and resources to commit to the new technology and adapt to the new way of working. To support this, you should reserve time for your team to be curious about the new technology and learn about it during the project. Testing stages provide early access to the system, which offers great learning opportunities. Testing aims to support you to become self-sufficient with the system. Your team should access the new system tenant early and often to increase their knowledge and gain confidence with the system.It is important to start building a bridge to the future at an early stage. Talk regularly to your implementation team members to be on track with their new career ambitions and find ways to create new opportunities for them. There are many customer roles needed in the project. Assign the deployment roles to employees who express interest in continuing with the system after the implementation. For example, Business Lead or Project Manager could be excellent in a hybrid role after the project with all the knowledge gained during the implementation. Technical or Test Lead could be a great extent to your HRIS team. Don´t forget the rising stars in these projects who adapt to the new technology faster than others. Be sensitive in spotting these talented professionals and offer them new opportunities. Some might be eager to take on new roles while some need encouragement. It is important to think about how you can engage your employees during the project and after it. You want to keep your key people motivated and engaged. All the knowledge they have gained in the implementation project is vital for “life in production”.Think hybridWith modern HR work, the meaning of hybrid roles is growing. You don´t necessarily need to be an expert in HR or technology but rather a tech-savvy HR. It is a great advantage to have someone in-house who can speak HR, technology and business – an interpreter between business and technical team; someone who is familiar with your company culture, HR management processes, the way teams operate and who understands the advantages and challenges of digital transformation for your company. The Cloud HCM implementation methodologies typically give many opportunities to involve employees. Think ahead who you want to involve in the project preparation, customer training, tenant sessions for design, configuration and data conversion, testing stages and user training. Pair your employees with consultants who are experts in their field. Don’t be afraid of the new system. Too often HR is underestimating their own skills. During my career, I have seen how the customers' project team's knowledge and skills have grown along with the project. Your HR can also learn to speak technology.Depending on the modules you choose to implement you might require new in-house roles in the future. It is important to think already when planning the project what strategic goals you have for modules you have chosen. The ownership of the HR processes and the modules should be clear already at the beginning of the project. Who owns for example the processes within Onboarding, Talent Management, Recruiting, HCM Core, Learning, Time Tracking, etc.? Do you need dedicated lead roles for those modules in the future? If so, then make sure that these roles are resourced already early on to ensure that future leaders can influence the design and decisions and participate in the testing stage to support configuration and business process optimization. To make sure that the system will be used to its full potential, your team should be dedicated to following the trends in their specific area. Depending on the number of different modules you might also need several HCM system administrators for support.How will you organize the day-to-day operations of the new system?It is good to keep in mind that the leading cloud systems such as Workday and SAP SuccessFactors are designed to be highly flexible and configurable. These solutions allow you to respond to rapidly changing business requirements without the help of IT. You can realign organizational structures, manage and configure your business processes, and share data with other systems by using the system´s toolset. Improving the user experience requires continuous optimization of new features, user guidance and training. The best Cloud HCM platforms are adaptable and constantly innovating. You as a customer will receive regular updates in your system that will require your attention. Make the best of these features to keep the system up to your business's speed and needs. The question is: will you monitor and work on the latest updates, new features and functionalities yourself? Or would you prefer to get release management support from an experienced partner?Be realistic about your company resources and get ready for life after go-liveStart the discussion of the post-production support early enough to recognize what is the best solution for you. Take into consideration your resources such as budget, timeline, knowledge and skill set of your employees. This helps you to allocate your employees during the project and identify the learning opportunities. Think of the level of self-sufficiency you want to achieve with the new system. What does it require to get there, and what is the realistic timeline for your organization?There can be a transition period considering your budget and resources. You should decide on how you want to fill in the competency gaps you have and find a good balance with your internal and partner´s resources to make sure that you are using your new HCM system to its full potential now and in the future.Whether you decide to be very self-sufficient or you need more support, at Tietoevry we have a dedicated team of HR technology experts who can help you. Contact us to discuss how our advisory, implementation and post-production services would fit your needs. Check more about staffing your team with knowledgeable professionals - we are ready to join you on your HR digitalization journey!", Teija  Elomaa ,Digitalization , 27.8.2023
The role a domestic cloud solution can play in digital trust,/en/blog/2023/08/the-role-a-domestic-cloud-solution-can-play-in-digital-trust/,Digitalization / Pasi  Hautamäki  / 21.8.2023,"Pasi Hautamäki, Senior Business Developer at Tietoevry Industry, Public 360°, speaks on the role a domestic cloud can play in digital trust.Domestic cloud is a type of cloud architecture enabling compliance with relevant digital sovereignty requirements and regulations. The rise of AI, 5G and other data-heavy technologies have led to discussions around the need for digital sovereignty.Utilising Ascertia’s SigningHub, 360° Sign provides a unified, fortified method of e-signing for users that are looking to significantly reduce the friction with handling documents that require undisputable e-signatures. A unified signing approach provides the option of both local and remote signing for users, depending on their requirements.The service is part of sovereign cloud, a smart data storage solution that protects users against the changing geopolitical landscape and new regulations.Read more about 360° Sign - Flexible and secure signing of documentsBut why is domestic cloud necessary?Put simply, it allows users to retain ownership, trust and control over their data. As cloud data centres grow in utilisation, so too do regulations such as the US Cloud Act that conflict with the European Union’s rulings on cloud. It’s never been more important to be sure in your storage solutions.A domestic cloud ensures all data, including metadata, stays on sovereign soil and prevents foreign access regardless of circumstance. It should be part of a multi-cloud strategy, though it requires an understanding that not all data – nor cloud solution - is the same. Each cloud has its own value proposition and organisations should plan their cloud strategy accordingly.Tietoevry’s domestic (sovereign) Cloud protects and empowers users, offering:Data access and integrity
Data innovation and analytics
Certified data security and compliance
Cloud disaster prevention and recoveryIn July 2022, Tietoevry was identified as an Example Regional Cloud Provider in Europe by Gartner® Market Guide for Speciality Cloud Providers. With the growing amount of sovereign cloud initiatives in the region, this acknowledgement reaffirms that it offers a secure data storage solution that protects digital sovereignty.Learn more about sovereign cloud.", Pasi  Hautamäki  ,Digitalization , 21.8.2023
Everyone is asking the same question: How should AI be regulated?,/en/blog/2023/08/eu-data-act-how-should-ai-be-regulated/,Data / Wenche Karlstad / 21.8.2023,"What kind of requirements should be placed on AI-generated content? Will tighter restrictions slow down the rapid pace of innovation? Where is the line between legislation, guidance and ethical judgement?The EU regulation on artificial intelligence (the AI Act) was approved by the EU Parliament in mid-June. This means that within 1-2 years, the EU will have a law in place that will not only apply in EU countries, but will also set the standard for much of the world.- I believe that the AI law will spread much faster than the EU's General Data Protection Regulation (GDPR). But they will coexist closely. Data protection will become even more central in the future.This is according to Wenche Karlstad, head of digital sovereignty initiatives at Tietoevry. She is one of those who have followed the process closely over time.Although there is still a round of negotiations with the European Commission and the Council of Ministers before the law is finalized, the draft says a lot about the future framework for the use of AI systems.- This is the world's first AI regulation, and anyone developing or introducing AI applications in Europe will have to comply with it,"" Karlstad points out.Professor Marija Slavkovik, head of the Department of Information and Media Science at the University of Bergen, also believes the AI Act will have a major impact.- Even though many people have objections, we need to regulate the use of artificial intelligence. What we are seeing now is the beginning of a new era of automation.Professor Marija Slavkovik from UiB.Big wins across industriesKarlstad believes that we are only beginning to see the outlines of what AI can do for us. She cites a few applications:Google recently held an event where they showed how AI will be able to detect cancer at an early stage.
AI can provide better healthcare, safer transport services and cheaper and more sustainable energy.
AI can provide more accurate weather forecasts, helping to protect buildings, infrastructure and crops.
Big benefits are on the horizon for industry and construction. We will see better use of industrial data, leading to optimized production, maintenance and material use.The list of areas where AI will impact everyday life and work is endless.- Ultimately, AI will be able to add value to society as a whole,"" says Karlstad.Double aim of the AI lawThe forthcoming EU regulation classifies AI applications according to their level of risk. The scale has four levels: unregulated, limited risk, high risk and unacceptable.- Real-time social monitoring, for example, will be completely banned. The high-risk category entails a number of requirements, including registration, risk assessment and labelling.""Anyone who is affected should prepare now for the upcoming legislation and what it means. Those who fail to do so may face sanctions,"" says Karlstad.She emphasizes that the EU regulation is not only aimed at restricting AI. It also aims to encourage innovation.- The EU wants to strengthen Europe's position in an area where the US and China dominate. In this respect, the AI law is a deliberate move by European Commission President Ursula von der Leyen.Wenche Karlstad believes that there is a need for internal guidelines that address both the ethical and legal aspects of AI.Establishing clear guidelines will create a more predictable environment.For the EU, the desire to strengthen Europe's digital sovereignty is at the heart of the matter. In a broader perspective, it is about technological and economic growth as well as about safeguarding citizens' fundamental rights and values.The boundary between law and ethicsCredibility is a key word when it comes to using AI. You need to know where the data is and how it is secured. But as a consumer, you should also - as NTNU researcher and author of ""Machines that think"" Inga Strümke points out - gain insight into how the technology works.What is ""real"" and what is AI-generated? What paths do data take in an increasingly intertwined value chain? When are our fundamental rights at risk?- It's equally exciting when we move beyond the realm of regulation to ethical principles. Risk assessments and technical documentation are most important in the high-risk category, but everyone who uses AI has a responsibility,"" says Karlstad.This responsibility may involve ethical dilemmas.- For example, how to balance the desire to play with open cards against the need to protect business-critical information, unwanted discrimination in hiring processes or privacy concerns when using sensitive information.Those who can explain their judgements and clarify accountability in the development and use of AI will have an advantage.Originally published in Norwegian on Digi.no.Our Strategic Foresight paper provides unparalleled insights from EU institutions, Nordic decision-makers, and security specialists on upcoming EU initiatives for sovereignty, security, and sustainability.READ WHITEPAPER NOW




Strategic Foresight
How will EU regulatory impact Responsible AI, Data and Cloud strategies?
Read now", Wenche Karlstad ,Data , 21.8.2023
Shashi Prabha Singh: A trailblazing technologist driving innovation and diversity,/en/blog/2023/08/career-page-shashi-prabha-singh/,Meet our people / Shashi  Prabha Singh / 18.8.2023,"She continuously seeks to expand her horizons, staying up-to-date with the latest advancements in technology. As she herself tells it:- I pursued a degree in data science and advanced business analysis from Indian Institute of Management Ahmedabad. That was my passion - working on driving innovations in chip technology. However, due to limited opportunities, I joined a software organization, gaining hands-on experience in different technologies. Since then, my journey in the technological area has lasted for over two decades.Shashi continues:- First, I engaged in various hands-on activities such as requirement gathering, programming, and testing, marking the beginning of my learning journey. Gradually, I transitioned into a delivery management role and started leading teams. As I delved deeper into working with SMAC technologies, my interest in analytics and data science grew. Consequently, I pursued a degree in data science and advanced business analysis. While working in business process management, I realized that addressing customer needs requires considering not only the technologies but also the underlying business problems. To broaden my perspective, I completed a postgraduate course from MIT Sloan in Digital Strategy for New Age organizations and another course on digital marketing from Columbia Business School. This comprehensive approach provided me with a full playbook.Today, Shashi is a Vice President at Tietoevry Create, leading the digital innovation team dealing with different technologies, including augmented reality, extended reality, metaverse, conversational AI, and the Internet of Things. Her journey from a software developer position to a leadership role in a team dealing with modern technologies was shaped by comprehensive education and learning.Shashi sees diversity not just as a goal, but as a driving force behind innovation. She firmly believes that diverse perspectives and experiences are crucial in creating groundbreaking solutions. By bringing together individuals from different backgrounds, cultures, and skill sets, Shashi's team can approach problems from multiple angles and uncover unique insights:- In my current role, I am immersed in the fascinating and challenging realm of diverse cutting-edge technologies, and I am continuously learning alongside my team. It is undoubtedly the best part of my current role, and I firmly believe in the value of a culture where everyone constantly learns, unlearns, and relearns. Another important lesson is that success is not solely dependent on individual efforts but also on effective teamwork and collaboration. The support and cooperation of both the team and the ecosystem play a vital role in achieving success.Shashi continues:- I am the first girl in my family to pursue engineering, despite facing resistance. I have set an example for others, and now there are more women in our community pursuing engineering. It is crucial to encourage girls to pursue education and provide support when they face decisions about marriage or a career in technology. Society plays a vital role in providing this support. Organizations like Tietoevry also make a difference by offering flexible work hours and part-time opportunities, allowing women to continue their professional journey alongside their family responsibilities, which are equally important.- I really want to see the change happening, especially in a country like India. I want to see women no longer perceive themselves as the weaker part of society. Being the first woman engineer in my community and family, I believe I have the privilege to go back and inspire many.Shashi is not just a visionary leader in the world of technology but also a catalyst for diversity and progress. We hope to see many following in her footsteps. It is by recognizing and appreciating the value of diversity that we can build a more equitable society and work life, where everyone has an equal opportunity to succeed and contribute.Join our team and reinvent the world. For good.Visit our career site!", Shashi  Prabha Singh ,Meet our people , 18.8.2023
